income,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
0,19,Private,HS-grad,NotMarried,Craft-repair,Own-child,White,Male,40
1,54,,Some-college,Married,,Husband,Asian-Pac-Islander,Male,60
0,39,Private,HS-grad,Separated,Exec-managerial,Not-in-family,White,Male,80
0,49,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40
0,23,Local-gov,Assoc-acdm,NotMarried,Protective-serv,Not-in-family,White,Male,52
0,20,Private,Some-college,NotMarried,Sales,Own-child,Black,Male,44
0,45,Private,Bachelors,Separated,Exec-managerial,Own-child,White,Male,40
0,30,Federal-gov,Some-college,Married,Adm-clerical,Own-child,White,Male,40
0,22,State-gov,Some-college,Married,Other-service,Husband,Black,Male,15
0,48,Private,11th,NotMarried,Machine-op-inspct,Unmarried,White,Male,40
0,21,Private,Some-college,NotMarried,Machine-op-inspct,Own-child,White,Male,40
0,19,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,25
1,31,Private,Some-college,Married,Sales,Husband,White,Male,38
0,48,Self-emp-not-inc,Assoc-acdm,Married,Prof-specialty,Husband,White,Male,40
0,31,Private,9th,Married,Machine-op-inspct,Husband,White,Male,43
0,53,Self-emp-not-inc,Bachelors,Married,Prof-specialty,Husband,White,Male,40
0,24,Private,Bachelors,Married,Tech-support,Husband,White,Male,50
0,49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,40
0,25,Private,HS-grad,NotMarried,Handlers-cleaners,Not-in-family,White,Male,35
1,57,Federal-gov,Bachelors,Married,Prof-specialty,Husband,Black,Male,40
0,53,Private,HS-grad,Married,Machine-op-inspct,Husband,White,Male,38
1,47,Private,Prof-school,Married,Prof-specialty,Wife,White,Female,60
1,50,Federal-gov,Bachelors,Separated,Exec-managerial,Not-in-family,White,Male,55
1,43,Private,Some-college,Married,Tech-support,Husband,White,Male,40
1,42,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,45
1,53,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,40
1,49,Self-emp-inc,Some-college,Married,Exec-managerial,Husband,White,Male,50
1,29,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,70
1,44,Private,HS-grad,Separated,Craft-repair,Not-in-family,White,Female,40
1,49,Local-gov,HS-grad,Married,Protective-serv,Husband,White,Male,40
1,43,Federal-gov,Doctorate,NotMarried,Prof-specialty,Not-in-family,White,Female,50
1,34,Local-gov,Bachelors,Married,Protective-serv,Husband,White,Male,40
1,48,Self-emp-not-inc,Doctorate,Married,Prof-specialty,Husband,White,Male,60
1,37,Private,Some-college,Married,Sales,Husband,White,Male,48
1,76,Private,Masters,Married,Exec-managerial,Husband,White,Male,40
1,44,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,60
1,32,Self-emp-inc,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,38,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,40
1,56,Self-emp-not-inc,HS-grad,Married,Other-service,Husband,White,Male,50
1,49,Local-gov,Assoc-voc,Married,Craft-repair,Husband,Black,Male,40
1,29,State-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,50
1,47,Private,Bachelors,Married,Exec-managerial,Wife,White,Female,40
1,31,Private,Assoc-acdm,Married,Adm-clerical,Husband,White,Male,40
1,38,Federal-gov,Masters,Married,Prof-specialty,Husband,White,Male,40
1,49,Private,Some-college,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40
1,45,Private,Assoc-voc,NotMarried,Prof-specialty,Not-in-family,White,Female,40
1,52,,HS-grad,Separated,,Not-in-family,White,Male,45
1,45,Self-emp-not-inc,Masters,Married,Sales,Husband,White,Male,40
1,51,Private,Some-college,Married,Sales,Husband,White,Male,40
1,28,State-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,44,Local-gov,Some-college,Married,Exec-managerial,Husband,Black,Male,38
1,40,Private,7th-8th,Married,Machine-op-inspct,Husband,White,Male,40
1,37,Federal-gov,Some-college,Married,Adm-clerical,Husband,White,Male,42
1,58,State-gov,Doctorate,Married,Prof-specialty,Husband,White,Male,1
1,40,Federal-gov,Masters,NotMarried,Exec-managerial,Not-in-family,White,Female,55
1,35,Private,Masters,Married,Prof-specialty,Other-relative,White,Male,40
1,51,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,50
1,36,Private,Bachelors,Married,Other-service,Husband,Black,Male,36
1,58,Self-emp-inc,HS-grad,Married,Sales,Wife,White,Female,35
1,37,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,54,Self-emp-inc,7th-8th,Married,Machine-op-inspct,Husband,White,Male,40
1,37,Private,Bachelors,NotMarried,Exec-managerial,Not-in-family,Black,Male,60
1,28,Private,Prof-school,NotMarried,Prof-specialty,Not-in-family,White,Male,55
1,41,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,50
1,38,Local-gov,Masters,Married,Exec-managerial,Husband,White,Male,70
1,40,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,58,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,45
1,40,Private,Assoc-acdm,Married,Tech-support,Husband,White,Male,60
1,41,Private,Prof-school,Married,Prof-specialty,Wife,White,Female,40
1,42,Self-emp-not-inc,HS-grad,Married,Farming-fishing,Husband,Asian-Pac-Islander,Male,40
1,37,Self-emp-inc,Some-college,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,75
1,64,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,40
1,33,Private,HS-grad,Married,Craft-repair,Wife,White,Female,40
1,61,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,40
1,44,Private,Some-college,Married,Craft-repair,Husband,White,Male,40
1,24,Private,Some-college,Married,Machine-op-inspct,Wife,White,Female,48
1,42,Local-gov,Some-college,Married,Craft-repair,Husband,White,Male,40
1,57,Federal-gov,Masters,Married,Sales,Husband,White,Male,40
1,41,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,60
1,48,Private,Bachelors,Married,Adm-clerical,Husband,White,Male,40
1,31,Private,HS-grad,Married,Transport-moving,Husband,White,Male,45
1,55,Private,HS-grad,Married,Sales,Husband,White,Male,40
1,35,Private,Assoc-acdm,Married,Adm-clerical,Husband,White,Male,40
1,41,Self-emp-inc,Some-college,Married,Farming-fishing,Husband,White,Male,54
1,34,Private,Masters,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,35
1,36,Self-emp-not-inc,Bachelors,Separated,Prof-specialty,Not-in-family,Black,Female,40
1,43,Private,Some-college,Married,Prof-specialty,Wife,White,Female,50
1,38,Private,Assoc-voc,Married,Craft-repair,Husband,White,Male,40
1,36,State-gov,HS-grad,Married,Protective-serv,Husband,White,Male,40
1,33,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,33,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,59,,Bachelors,Married,,Husband,White,Male,40
1,38,Federal-gov,HS-grad,Married,Adm-clerical,Husband,White,Male,40
1,40,Private,Assoc-voc,Married,Tech-support,Husband,White,Male,40
1,62,Private,Masters,Married,Prof-specialty,Husband,White,Male,40
1,43,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Male,45
1,57,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Female,45
1,40,State-gov,Assoc-voc,Married,Machine-op-inspct,Husband,White,Male,38
1,44,Private,Some-college,Married,Adm-clerical,Wife,White,Female,6
1,35,Private,HS-grad,Married,Other-service,Wife,White,Female,40
1,34,State-gov,Bachelors,Married,Exec-managerial,Husband,White,Male,45
1,25,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,55
1,52,Self-emp-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,50
1,50,State-gov,Bachelors,Married,Protective-serv,Husband,White,Male,40
1,41,Private,Masters,Married,Exec-managerial,Husband,White,Male,65
1,28,,Some-college,Married,,Wife,White,Female,40
1,46,Private,Doctorate,Married,Exec-managerial,Husband,White,Male,60
1,35,Private,12th,Separated,Craft-repair,Not-in-family,White,Male,50
1,32,State-gov,Bachelors,Married,Exec-managerial,Wife,White,Female,40
1,63,Self-emp-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,40
1,30,Private,Assoc-acdm,Married,Other-service,Wife,White,Female,25
1,33,Private,Masters,Married,Prof-specialty,Husband,White,Male,50
1,44,Private,Some-college,Married,Prof-specialty,Husband,White,Male,40
1,45,Self-emp-inc,Some-college,Married,Craft-repair,Husband,White,Male,55
1,60,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,42,Private,Assoc-acdm,Married,Exec-managerial,Husband,Black,Male,40
1,44,Self-emp-not-inc,HS-grad,Married,Sales,Wife,White,Female,40
1,40,Private,Assoc-voc,Married,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,40
1,49,Private,Masters,Married,Exec-managerial,Husband,White,Male,45
1,30,Private,Bachelors,Married,Tech-support,Wife,White,Female,16
1,60,Private,Some-college,NotMarried,Prof-specialty,Unmarried,White,Male,40
1,38,Private,Bachelors,Married,Sales,Husband,White,Male,60
1,34,Private,Some-college,Married,Prof-specialty,Husband,White,Male,50
1,34,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,50
1,38,Self-emp-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,80
1,50,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,50
1,37,Local-gov,Some-college,Married,Tech-support,Husband,White,Male,45
1,44,Private,Some-college,Separated,Machine-op-inspct,Unmarried,White,Male,58
1,42,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,41,Private,Assoc-acdm,Married,Exec-managerial,Wife,White,Female,50
1,67,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,48
1,33,Federal-gov,Assoc-voc,Separated,Craft-repair,Unmarried,Black,Female,40
1,54,Private,Bachelors,Married,Sales,Husband,White,Male,35
1,47,Private,Some-college,Married,Prof-specialty,Husband,White,Male,50
1,52,Self-emp-not-inc,Bachelors,Married,Prof-specialty,Husband,White,Male,60
1,37,Private,Assoc-voc,Married,Craft-repair,Husband,White,Male,40
1,29,Private,Bachelors,Married,Exec-managerial,Wife,White,Male,40
1,65,,Some-college,Married,,Husband,White,Male,30
1,57,Private,HS-grad,Married,Sales,Husband,White,Male,40
1,52,Private,10th,Married,Craft-repair,Husband,White,Male,47
1,60,Private,7th-8th,NotMarried,Transport-moving,Not-in-family,White,Male,48
1,31,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,42,Self-emp-not-inc,Prof-school,Married,Prof-specialty,Husband,White,Male,50
1,51,Private,Masters,Married,Craft-repair,Husband,White,Male,40
1,46,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,45
1,34,Private,HS-grad,Married,Sales,Husband,White,Male,45
1,33,Private,Some-college,Married,Exec-managerial,Husband,White,Male,40
1,49,Private,Bachelors,Married,Sales,Husband,White,Male,26
1,43,Private,Some-college,Married,Craft-repair,Husband,White,Male,60
1,30,Private,Bachelors,Married,Adm-clerical,Wife,Black,Female,40
1,33,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,60
1,52,Self-emp-not-inc,Doctorate,Married,Prof-specialty,Husband,White,Male,60
1,36,Private,Some-college,Married,Sales,Husband,White,Male,50
1,50,Self-emp-inc,Doctorate,Separated,Prof-specialty,Not-in-family,White,Male,40
1,30,State-gov,Bachelors,Married,Tech-support,Husband,White,Male,40
1,35,Private,Doctorate,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,40
1,43,Private,HS-grad,Married,Machine-op-inspct,Husband,White,Male,40
1,44,Self-emp-not-inc,12th,Married,Handlers-cleaners,Husband,Black,Male,40
1,42,Private,Assoc-acdm,Separated,Prof-specialty,Unmarried,White,Female,40
1,42,Private,HS-grad,Married,Craft-repair,Husband,Black,Male,40
1,33,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,50,Self-emp-inc,HS-grad,Married,Sales,Husband,White,Male,50
1,37,Private,Assoc-voc,Married,Craft-repair,Husband,White,Male,40
1,34,Self-emp-not-inc,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,35,Private,Masters,NotMarried,Prof-specialty,Not-in-family,White,Male,60
1,31,Private,Masters,Married,Tech-support,Husband,White,Male,40
1,46,Private,Doctorate,Separated,Prof-specialty,Unmarried,White,Female,65
1,44,Private,Bachelors,Separated,Exec-managerial,Own-child,White,Female,50
1,34,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,45
1,50,Local-gov,HS-grad,Married,Exec-managerial,Husband,White,Male,42
1,42,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,45
1,43,Private,Bachelors,NotMarried,Prof-specialty,Not-in-family,White,Male,40
1,65,Self-emp-not-inc,11th,Married,Exec-managerial,Husband,White,Male,59
1,42,Private,Bachelors,Married,Tech-support,Husband,White,Male,40
1,42,Private,Masters,NotMarried,Exec-managerial,Not-in-family,White,Female,50
1,42,Local-gov,Bachelors,Married,Prof-specialty,Wife,White,Female,40
1,55,Private,HS-grad,Married,Transport-moving,Husband,White,Male,40
1,29,State-gov,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,54,Private,HS-grad,Married,Transport-moving,Husband,White,Male,40
1,46,Federal-gov,HS-grad,Married,Adm-clerical,Wife,White,Female,40
1,59,Local-gov,HS-grad,Married,Adm-clerical,Wife,White,Female,38
1,53,Self-emp-inc,Doctorate,Married,Exec-managerial,Husband,White,Male,70
1,51,Private,Bachelors,NotMarried,Sales,Not-in-family,White,Male,55
1,37,Private,Assoc-voc,Married,Tech-support,Wife,White,Female,24
1,43,Private,Bachelors,Married,Sales,Husband,White,Male,50
1,40,Private,Assoc-voc,Married,Exec-managerial,Husband,White,Male,50
1,40,Private,Bachelors,NotMarried,Sales,Not-in-family,Other,Female,55
1,48,Private,Assoc-voc,Married,Tech-support,Husband,White,Male,50
1,60,Private,HS-grad,Married,Transport-moving,Husband,White,Male,60
1,46,Private,Masters,NotMarried,Tech-support,Not-in-family,White,Male,35
1,43,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,32,Private,HS-grad,Married,Craft-repair,Husband,White,Male,48
1,33,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,47
1,64,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,56,Private,Some-college,Married,Craft-repair,Husband,White,Male,50
1,47,Private,HS-grad,Married,Transport-moving,Husband,White,Male,50
1,57,Private,HS-grad,Widowed,Transport-moving,Unmarried,White,Male,42
1,53,Private,Some-college,Married,Adm-clerical,Wife,White,Female,40
1,41,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Female,50
1,51,Private,Some-college,Married,Prof-specialty,Husband,White,Male,40
1,55,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,37,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,45
1,61,Private,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,40
1,48,State-gov,Doctorate,Separated,Prof-specialty,Own-child,White,Male,50
1,59,Private,HS-grad,Married,Other-service,Husband,White,Male,40
1,49,Private,Bachelors,NotMarried,Exec-managerial,Not-in-family,White,Female,56
1,39,Private,Some-college,Married,Farming-fishing,Husband,White,Male,50
1,44,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,71,Self-emp-not-inc,Masters,Married,Sales,Husband,White,Male,40
1,51,Self-emp-not-inc,Bachelors,Married,Sales,Husband,Asian-Pac-Islander,Male,40
1,41,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,60
1,39,Private,HS-grad,Married,Transport-moving,Husband,White,Male,40
1,32,Private,Bachelors,Married,Adm-clerical,Other-relative,White,Male,40
1,38,Private,Bachelors,Married,Sales,Husband,White,Male,50
1,37,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,50
1,42,Self-emp-not-inc,Prof-school,Married,Farming-fishing,Husband,White,Male,65
1,30,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,45
1,39,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,45
1,67,Self-emp-inc,HS-grad,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,40
1,51,Private,Masters,Married,Exec-managerial,Husband,White,Male,60
1,37,Private,11th,Married,Machine-op-inspct,Husband,White,Male,44
1,37,Private,HS-grad,Married,Craft-repair,Husband,White,Male,99
1,41,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,40
1,31,Private,Bachelors,NotMarried,Sales,Not-in-family,White,Male,40
1,38,Self-emp-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,40
1,36,Self-emp-inc,Bachelors,Married,Exec-managerial,Wife,White,Female,45
1,44,State-gov,HS-grad,Married,Prof-specialty,Wife,White,Female,40
1,43,Private,Masters,Married,Exec-managerial,Husband,White,Male,43
1,44,Self-emp-inc,Some-college,Married,Sales,Husband,White,Male,70
1,33,Self-emp-not-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,42,Private,Assoc-acdm,Married,Exec-managerial,Husband,White,Male,40
1,35,Self-emp-inc,Some-college,Married,Sales,Husband,White,Male,60
1,48,Private,Bachelors,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,40
1,34,Private,HS-grad,Married,Craft-repair,Husband,White,Male,35
1,67,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,Male,40
1,40,State-gov,Masters,Married,Prof-specialty,Husband,White,Male,35
1,45,Local-gov,HS-grad,Widowed,Protective-serv,Not-in-family,White,Male,40
1,47,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,50
1,56,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,55
1,48,Federal-gov,Bachelors,Separated,Exec-managerial,Unmarried,White,Male,58
1,39,Self-emp-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,50
1,50,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,65
1,38,State-gov,HS-grad,Married,Prof-specialty,Wife,White,Female,40
1,39,Self-emp-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,40
1,54,Self-emp-not-inc,HS-grad,Married,Craft-repair,Husband,White,Male,52
1,50,Private,HS-grad,Married,Machine-op-inspct,Husband,White,Male,40
1,42,Private,Some-college,Married,Prof-specialty,Husband,White,Male,44
1,33,Private,Assoc-voc,Married,Tech-support,Wife,White,Female,40
1,48,Local-gov,Masters,Married,Prof-specialty,Husband,White,Male,35
1,45,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,55
1,44,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,60
1,36,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,50
1,53,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,40
1,30,Private,Bachelors,Married,Adm-clerical,Husband,White,Male,40
1,52,Self-emp-not-inc,Some-college,Married,Sales,Husband,White,Male,55
1,49,Local-gov,Masters,Married,Prof-specialty,Husband,White,Male,40
1,45,Private,HS-grad,Married,Craft-repair,Husband,White,Male,47
1,49,Private,Some-college,Married,Sales,Husband,White,Male,80
1,35,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,80
1,38,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,37,Private,HS-grad,Married,Craft-repair,Husband,White,Male,50
1,48,State-gov,Doctorate,Married,Prof-specialty,Wife,White,Female,46
1,43,State-gov,Assoc-voc,Married,Prof-specialty,Wife,White,Female,40
1,41,Local-gov,Some-college,Married,Protective-serv,Husband,White,Male,40
1,42,Private,Some-college,Married,Exec-managerial,Husband,White,Male,52
1,41,Federal-gov,Assoc-acdm,Married,Prof-specialty,Husband,White,Male,40
1,44,Self-emp-not-inc,Bachelors,NotMarried,Sales,Not-in-family,White,Male,50
1,29,Self-emp-inc,HS-grad,Married,Sales,Wife,White,Female,25
1,45,Self-emp-inc,Bachelors,Married,Machine-op-inspct,Husband,White,Male,60
1,34,Self-emp-not-inc,Assoc-acdm,Married,Prof-specialty,Wife,White,Female,25
1,41,Private,Bachelors,Married,Craft-repair,Husband,White,Male,40
1,35,Self-emp-inc,Masters,Married,Sales,Husband,White,Male,45
1,33,Private,Bachelors,Married,Sales,Wife,White,Female,45
1,60,Self-emp-inc,Assoc-voc,Married,Machine-op-inspct,Husband,White,Male,70
1,58,Local-gov,Bachelors,Married,Prof-specialty,Wife,White,Female,40
1,35,Private,HS-grad,Married,Transport-moving,Husband,White,Male,50
1,31,Private,Some-college,Married,Exec-managerial,Husband,White,Male,50
1,46,Self-emp-not-inc,Masters,Married,Exec-managerial,Husband,White,Male,45
1,35,Federal-gov,HS-grad,Married,Adm-clerical,Husband,Black,Male,60
1,33,Private,Masters,Married,Prof-specialty,Husband,White,Male,44
1,61,Self-emp-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,35
1,50,Self-emp-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,40
1,46,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,45
1,28,State-gov,Masters,Married,Prof-specialty,Wife,White,Female,50
1,33,Private,Bachelors,Married,Sales,Husband,White,Male,60
1,54,Private,Assoc-acdm,Married,Tech-support,Husband,White,Male,40
1,50,Private,Bachelors,Married,Prof-specialty,Wife,White,Female,40
1,65,Private,Bachelors,Married,Adm-clerical,Husband,White,Male,20
1,25,Private,Masters,Married,Farming-fishing,Not-in-family,White,Male,99
1,58,,Some-college,Married,,Husband,White,Male,40
1,50,State-gov,HS-grad,Married,Prof-specialty,Husband,White,Male,48
1,50,,HS-grad,Married,,Husband,White,Male,40
1,40,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Female,45
1,48,Private,Some-college,Married,Craft-repair,Husband,White,Male,40
1,45,Federal-gov,HS-grad,Married,Adm-clerical,Husband,Black,Male,80
1,30,Local-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,50
1,44,Private,Bachelors,NotMarried,Other-service,Not-in-family,White,Male,40
1,61,Self-emp-inc,Masters,Married,Sales,Husband,White,Male,40
1,38,Private,Bachelors,Married,Sales,Husband,White,Male,42
1,44,Self-emp-inc,Some-college,Married,Sales,Husband,White,Male,60
1,54,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,45
1,63,,Bachelors,Widowed,,Not-in-family,White,Female,40
1,48,Self-emp-not-inc,Some-college,Married,Craft-repair,Husband,Amer-Indian-Eskimo,Male,40
1,38,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,40
1,45,Self-emp-not-inc,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,38,Private,Masters,Married,Transport-moving,Husband,White,Male,72
1,36,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,60
1,46,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,35,Private,Masters,NotMarried,Prof-specialty,Not-in-family,White,Male,45
1,65,Self-emp-not-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,59
1,54,Self-emp-inc,Prof-school,Married,Prof-specialty,Husband,White,Male,60
1,51,Self-emp-inc,Masters,Married,Exec-managerial,Husband,White,Male,50
1,57,Private,HS-grad,Married,Sales,Husband,White,Male,50
1,43,Federal-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,53,Private,HS-grad,Married,Transport-moving,Husband,White,Male,48
1,38,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,51,Local-gov,Bachelors,Married,Adm-clerical,Husband,White,Male,40
1,46,Private,Bachelors,Married,Sales,Husband,White,Male,40
1,67,Private,Bachelors,Married,Protective-serv,Husband,White,Male,7
1,42,Federal-gov,Assoc-acdm,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,40
1,65,,HS-grad,Married,,Husband,White,Male,40
1,50,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,40
1,47,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,50
1,58,Self-emp-inc,Some-college,Married,Transport-moving,Wife,White,Female,40
1,37,Private,Bachelors,Married,Machine-op-inspct,Husband,White,Male,43
1,49,Private,HS-grad,Married,Craft-repair,Wife,White,Female,40
1,32,Private,Some-college,Married,Handlers-cleaners,Husband,White,Male,50
1,35,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,40
1,41,State-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,40
1,48,Private,Bachelors,Married,Craft-repair,Husband,White,Male,45
1,27,Private,HS-grad,NotMarried,Sales,Not-in-family,White,Male,50
1,55,Private,Some-college,Married,Transport-moving,Husband,White,Male,24
1,39,Private,HS-grad,Married,Adm-clerical,Husband,White,Male,40
1,52,Private,HS-grad,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,40
1,51,Private,Assoc-voc,Married,Prof-specialty,Husband,White,Male,40
1,40,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,40
1,61,Self-emp-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,50
1,36,Private,Bachelors,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,60
1,34,Private,Some-college,NotMarried,Prof-specialty,Not-in-family,White,Male,50
1,32,Self-emp-inc,Bachelors,Married,Craft-repair,Husband,White,Male,50
1,61,Self-emp-not-inc,HS-grad,Married,Farming-fishing,Husband,White,Male,60
1,52,Private,HS-grad,Married,Craft-repair,Husband,White,Male,40
1,52,Private,HS-grad,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,40
1,65,Private,Masters,Married,Sales,Husband,White,Male,40
1,40,Self-emp-not-inc,Some-college,Separated,Exec-managerial,Other-relative,White,Male,70
1,40,Local-gov,7th-8th,Married,Craft-repair,Husband,Black,Male,40
1,42,Private,10th,NotMarried,Transport-moving,Unmarried,White,Male,40
1,50,Private,HS-grad,Married,Transport-moving,Husband,White,Male,60
1,24,Private,HS-grad,Married,Other-service,Husband,White,Male,45
1,39,Local-gov,Assoc-acdm,Married,Craft-repair,Wife,White,Female,50
